,StudentId,CGPA,Major Projects,Workshops/Certificatios,Mini Projects,Skills,Communication Skill Rating,Internship,Hackathon,12th Percentage,10th Percentage,backlogs,PlacementStatus
115,116,7.0,0,2,3,5,3.4,No,No,77.8,58.0,2,NotPlaced
116,117,7.7,0,1,3,9,3.1,Yes,Yes,80.1,73.6,0,Placed
117,118,7.5,1,2,1,6,4.4,Yes,Yes,72.0,73.1,1,Placed
118,119,8.9,1,2,3,14,2.3,No,No,65.3,88.4,2,Placed
119,120,7.3,0,3,0,8,1.6,Yes,No,70.6,86.0,3,NotPlaced
120,121,6.6,0,3,0,4,3.7,No,Yes,65.1,69.7,4,Placed
121,122,7.7,0,1,2,6,3.4,Yes,Yes,50.3,64.6,2,NotPlaced
122,123,7.7,1,0,3,5,2.4,Yes,Yes,63.3,64.9,3,Placed
123,124,8.7,0,2,0,9,2.1,No,Yes,75.6,69.3,3,Placed
124,125,8.2,2,1,1,2,5.0,No,No,68.6,83.7,3,Placed
125,126,7.8,1,1,0,3,3.9,No,Yes,68.2,75.7,0,NotPlaced
126,127,8.7,1,2,1,5,3.5,Yes,Yes,81.0,76.7,1,Placed
127,128,6.5,0,3,1,9,5.0,No,Yes,62.3,79.3,1,Placed
128,129,7.0,1,2,2,11,4.3,Yes,No,63.2,63.1,3,NotPlaced
129,130,6.7,1,2,0,11,4.9,No,Yes,74.0,65.6,2,Placed
130,131,7.2,1,2,1,9,2.6,No,Yes,64.6,76.7,3,NotPlaced
131,132,6.3,0,1,2,7,2.5,Yes,Yes,64.5,65.0,4,NotPlaced
132,133,8.0,0,2,0,9,4.0,No,No,84.9,58.3,2,Placed
133,134,7.3,0,0,0,4,3.8,Yes,No,61.4,62.3,3,Placed
134,135,6.2,1,0,1,1,4.5,Yes,No,64.4,81.5,2,NotPlaced
135,136,6.6,2,1,2,8,2.2,Yes,No,75.0,68.6,2,NotPlaced
136,137,7.8,2,3,3,4,4.1,Yes,Yes,70.6,74.0,1,Placed
137,138,8.2,1,3,0,7,4.3,Yes,Yes,58.6,62.7,4,Placed
138,139,9.2,2,2,1,7,4.2,Yes,Yes,87.1,75.4,3,Placed
139,140,9.5,1,0,3,8,3.2,No,Yes,63.9,69.6,3,Placed
140,141,7.9,2,2,2,10,3.9,Yes,Yes,68.8,76.0,1,Placed
141,142,6.7,0,1,2,9,2.9,Yes,Yes,74.9,67.7,1,NotPlaced
142,143,5.7,1,3,0,8,3.3,Yes,Yes,90.5,76.5,3,NotPlaced
143,144,7.7,1,2,1,6,2.7,No,Yes,67.3,67.3,4,NotPlaced
144,145,6.8,1,1,3,7,2.9,Yes,No,62.7,71.3,7,NotPlaced
145,146,7.1,1,2,2,5,3.3,No,Yes,75.5,69.6,2,Placed
146,147,7.0,1,2,2,6,3.1,Yes,Yes,89.8,72.2,2,Placed
147,148,7.4,0,3,1,15,2.9,No,Yes,72.2,74.5,0,Placed
148,149,8.4,2,1,1,8,2.5,Yes,No,68.4,67.5,3,Placed
149,150,7.6,1,3,1,8,5.0,Yes,Yes,74.5,70.9,1,Placed
150,151,7.4,0,2,2,5,3.1,No,Yes,52.3,73.7,3,NotPlaced
151,152,6.6,1,1,1,10,3.8,No,Yes,65.5,76.6,0,Placed
152,153,6.1,0,1,1,9,2.1,No,Yes,54.6,71.3,4,NotPlaced
153,154,7.1,1,1,2,9,4.6,Yes,Yes,67.8,64.0,1,Placed
154,155,7.5,0,1,3,8,3.6,Yes,No,66.4,72.8,0,NotPlaced
155,156,9.0,1,1,1,10,3.1,Yes,No,50.0,78.0,2,Placed
156,157,7.6,2,1,0,11,3.2,Yes,Yes,72.6,60.0,2,Placed
157,158,8.3,1,1,2,8,4.2,Yes,Yes,76.6,60.1,3,Placed
158,159,7.1,1,1,1,7,1.1,No,Yes,69.3,66.0,2,NotPlaced
159,160,6.5,1,2,2,10,2.8,No,Yes,57.2,70.3,2,NotPlaced
160,161,6.7,0,2,3,4,3.4,Yes,Yes,82.4,52.2,0,Placed
161,162,6.9,1,1,1,5,3.4,No,Yes,88.1,77.2,3,NotPlaced
162,163,9.3,1,0,1,7,5.0,Yes,Yes,74.6,70.4,6,Placed
163,164,6.8,1,2,3,2,3.2,Yes,Yes,67.8,50.8,3,Placed
164,165,8.2,1,3,2,9,4.3,No,Yes,67.9,62.0,0,Placed
165,166,6.7,1,2,1,4,4.9,No,Yes,74.9,69.3,3,NotPlaced
166,167,8.3,2,2,1,6,4.0,Yes,No,71.8,56.0,1,Placed
167,168,7.8,1,1,2,6,3.0,Yes,No,74.9,80.7,5,NotPlaced
168,169,7.4,1,2,1,7,2.5,No,No,75.0,73.7,0,Placed
169,170,7.5,2,2,2,6,4.1,No,Yes,64.4,78.1,0,NotPlaced
170,171,6.9,1,1,0,7,4.8,Yes,Yes,63.6,62.7,0,Placed
171,172,7.9,2,3,0,7,3.9,Yes,No,68.5,75.7,3,Placed
172,173,7.1,1,0,1,6,4.5,Yes,Yes,75.2,66.1,2,Placed
173,174,6.5,0,1,3,5,5.0,No,Yes,57.0,70.3,2,NotPlaced
174,175,6.4,2,3,0,10,4.2,Yes,Yes,68.9,75.2,1,Placed
175,176,7.6,2,3,2,1,2.6,No,Yes,70.7,71.4,3,NotPlaced
176,177,8.8,1,0,3,6,3.5,Yes,Yes,66.6,79.3,1,Placed
177,178,7.6,1,1,0,6,4.6,Yes,Yes,83.6,73.3,0,Placed
178,179,7.4,2,2,3,8,3.3,No,Yes,82.1,67.8,3,Placed
179,180,7.7,0,2,2,3,4.7,Yes,Yes,74.7,79.6,1,Placed
180,181,8.6,1,3,1,6,3.4,Yes,Yes,86.9,81.5,2,Placed
181,182,7.7,1,3,3,7,3.8,Yes,Yes,78.9,72.8,1,Placed
182,183,7.2,2,2,2,10,3.2,Yes,No,72.2,84.0,2,NotPlaced
183,184,8.4,0,2,0,8,3.6,No,No,66.7,69.9,0,NotPlaced
184,185,7.9,1,3,2,3,3.7,No,Yes,67.4,70.8,1,NotPlaced
185,186,8.8,1,2,2,6,2.2,No,Yes,74.4,72.0,1,Placed
186,187,7.7,0,0,3,10,3.1,No,Yes,67.7,70.8,2,Placed
187,188,6.5,2,2,2,3,2.5,No,Yes,57.3,69.2,1,Placed
188,189,6.3,1,2,2,7,3.2,Yes,No,67.6,65.6,0,Placed
189,190,8.9,0,3,2,7,2.9,No,No,80.2,63.1,1,Placed
190,191,9.0,1,2,2,6,4.3,Yes,Yes,50.0,73.0,1,Placed
191,192,7.3,0,1,0,15,4.3,Yes,Yes,83.6,82.8,0,Placed
192,193,7.2,2,2,2,6,3.9,No,Yes,76.2,79.3,2,Placed
193,194,8.7,1,3,3,8,2.5,No,Yes,68.9,75.5,1,Placed
194,195,6.6,2,0,3,5,3.4,Yes,No,73.6,83.2,1,NotPlaced
195,196,6.7,1,1,2,9,2.4,Yes,Yes,79.6,72.2,2,Placed
196,197,8.0,2,1,1,10,3.4,No,No,71.3,63.1,1,NotPlaced
197,198,7.2,1,1,3,5,4.0,No,Yes,79.5,68.9,2,NotPlaced
198,199,7.5,1,2,0,7,4.3,Yes,No,78.7,71.5,2,Placed
199,200,7.4,0,0,2,4,3.9,No,No,72.6,67.4,3,NotPlaced
200,201,7.8,0,3,1,4,4.5,No,Yes,61.0,77.5,1,NotPlaced
201,202,8.7,2,1,3,10,3.7,No,Yes,70.1,80.4,1,Placed
202,203,7.6,2,0,1,5,3.3,Yes,Yes,52.6,56.4,0,Placed
203,204,8.0,0,1,1,1,4.2,No,No,75.0,70.7,1,NotPlaced
204,205,5.8,0,2,2,12,4.2,Yes,Yes,67.2,50.0,3,NotPlaced
205,206,7.5,0,3,1,5,3.1,Yes,Yes,65.5,71.2,0,Placed
206,207,6.8,1,2,1,6,3.8,Yes,Yes,76.9,71.1,0,Placed
207,208,6.5,1,3,2,12,3.3,No,Yes,59.6,88.0,2,NotPlaced
208,209,6.8,2,1,0,7,1.9,Yes,Yes,72.0,85.3,2,NotPlaced
209,210,7.2,1,0,1,7,3.9,Yes,Yes,67.9,80.4,4,Placed
210,211,8.3,1,3,2,3,2.5,Yes,Yes,69.4,63.4,0,Placed
211,212,6.4,2,2,3,2,3.8,Yes,No,73.6,62.8,3,NotPlaced
212,213,7.5,0,2,0,7,2.3,No,No,87.4,62.1,2,NotPlaced
213,214,7.1,2,2,1,8,2.9,Yes,Yes,74.6,85.7,3,NotPlaced
214,215,7.2,1,1,1,8,3.2,Yes,Yes,83.2,63.8,1,NotPlaced
215,216,8.4,2,1,3,6,4.5,Yes,Yes,83.6,68.5,1,Placed
216,217,8.0,2,1,1,7,3.1,No,Yes,77.9,63.9,0,Placed
217,218,8.6,1,1,1,1,2.6,No,Yes,54.4,60.7,3,NotPlaced
218,219,7.4,1,1,3,8,3.8,Yes,No,68.8,75.0,0,Placed
219,220,6.9,2,2,2,7,3.3,No,No,61.2,73.4,0,NotPlaced
220,221,7.3,2,3,2,13,4.1,No,Yes,96.8,52.0,1,Placed
221,222,7.7,1,3,2,7,2.7,No,No,62.0,60.3,3,NotPlaced
222,223,7.7,0,0,1,4,3.7,Yes,Yes,57.5,74.3,1,NotPlaced
223,224,6.6,1,3,0,7,5.0,Yes,Yes,50.0,71.4,1,Placed
224,225,7.6,2,1,2,6,3.3,No,Yes,61.7,68.4,2,NotPlaced
225,226,7.7,0,2,1,8,3.6,Yes,No,72.1,77.5,4,Placed
226,227,9.5,2,0,1,7,2.2,No,Yes,80.8,59.0,3,Placed
227,228,9.1,1,1,3,3,2.8,No,No,61.4,66.6,2,NotPlaced
228,229,6.8,2,3,2,2,3.9,No,No,81.5,76.7,0,Placed
229,230,7.3,1,2,2,8,3.2,Yes,Yes,70.4,66.2,0,NotPlaced
230,231,6.3,1,1,2,11,4.0,Yes,No,66.6,74.8,1,Placed
231,232,7.0,2,3,1,7,3.8,Yes,Yes,72.6,61.7,1,NotPlaced
232,233,7.8,1,3,1,9,2.4,Yes,Yes,83.8,64.6,1,Placed
233,234,8.5,1,1,1,10,4.3,Yes,Yes,71.5,56.0,1,Placed
234,235,6.9,2,1,1,8,2.5,No,No,61.0,53.5,1,Placed
235,236,6.9,1,1,2,5,2.9,Yes,No,74.8,67.7,2,Placed
236,237,5.7,0,2,1,8,3.7,Yes,Yes,74.7,76.1,0,NotPlaced
237,238,7.4,0,1,0,11,4.8,Yes,Yes,69.3,71.0,7,NotPlaced
238,239,6.6,1,2,3,9,2.7,Yes,Yes,80.2,82.4,3,Placed
239,240,7.0,1,3,1,9,3.6,No,No,50.4,68.5,1,Placed
240,241,6.8,1,3,1,6,3.6,Yes,Yes,74.2,52.9,1,Placed
241,242,7.4,1,2,2,6,4.0,No,Yes,78.1,75.1,5,Placed
242,243,6.0,1,3,1,7,4.4,Yes,No,58.0,62.3,4,NotPlaced
243,244,6.3,0,1,3,7,3.2,Yes,No,57.7,73.1,1,Placed
244,245,9.3,1,2,0,11,4.3,No,Yes,80.0,51.4,0,Placed
245,246,6.4,2,1,2,1,4.6,No,Yes,81.6,69.5,6,NotPlaced
246,247,6.6,0,1,0,7,4.9,Yes,No,83.2,78.3,2,NotPlaced
247,248,9.1,1,2,0,7,3.9,Yes,No,64.8,77.2,2,Placed
248,249,9.5,1,3,0,3,3.6,No,Yes,72.8,69.7,1,Placed
249,250,6.5,1,2,1,9,3.1,No,Yes,74.0,71.5,3,NotPlaced
250,251,7.2,2,2,3,5,2.3,No,No,55.6,67.5,2,Placed
251,252,7.8,2,1,1,6,3.3,Yes,Yes,72.4,69.3,1,Placed
252,253,9.0,2,3,1,13,3.6,Yes,Yes,72.2,77.6,2,Placed
253,254,6.7,1,2,1,10,3.4,Yes,No,77.7,65.3,1,Placed
254,255,7.3,0,3,1,9,4.0,Yes,Yes,65.9,66.1,1,Placed
255,256,8.2,1,3,1,8,2.3,No,Yes,82.3,57.8,2,Placed
256,257,7.9,1,2,2,7,3.4,Yes,No,71.7,77.8,2,Placed
257,258,7.2,0,2,2,13,5.0,No,Yes,86.4,69.1,5,Placed
258,259,7.4,1,1,1,9,4.3,No,Yes,77.7,60.6,2,Placed
259,260,6.3,1,1,1,5,4.0,No,No,73.5,79.4,1,NotPlaced
260,261,7.3,1,2,1,3,3.8,No,No,60.4,71.1,1,NotPlaced
261,262,7.3,2,1,1,9,3.2,No,Yes,59.1,64.8,2,NotPlaced
262,263,7.7,2,3,0,7,2.1,Yes,Yes,85.4,79.5,0,Placed
263,264,7.0,0,1,0,3,3.9,Yes,Yes,78.9,68.4,2,Placed
264,265,7.9,0,3,0,8,1.5,Yes,Yes,68.4,57.4,1,Placed
265,266,8.4,0,3,3,6,3.2,Yes,Yes,67.2,80.1,1,Placed
266,267,7.6,2,1,1,9,3.5,No,No,73.0,63.9,0,Placed
267,268,7.8,0,0,0,8,3.1,No,Yes,58.9,98.0,1,NotPlaced
268,269,7.5,1,0,2,5,5.0,Yes,Yes,66.8,67.5,0,Placed
269,270,7.5,0,0,1,9,5.0,Yes,Yes,76.5,53.4,2,Placed
270,271,6.9,1,1,2,6,4.3,Yes,Yes,77.7,87.3,1,Placed
271,272,7.8,1,0,1,6,2.8,No,Yes,67.7,71.0,4,NotPlaced
272,273,7.4,0,2,0,5,5.0,Yes,Yes,85.4,73.8,1,Placed
273,274,9.3,1,2,2,10,4.0,Yes,Yes,80.4,74.9,3,Placed
274,275,8.8,1,3,1,6,2.7,Yes,No,64.1,59.3,3,Placed
275,276,7.8,1,3,3,11,3.5,No,No,59.5,52.0,3,Placed
276,277,6.9,2,0,2,12,4.3,Yes,Yes,76.4,89.1,3,Placed
277,278,6.6,1,3,1,5,3.0,Yes,Yes,66.9,57.4,0,NotPlaced
278,279,8.5,2,2,1,1,3.6,No,Yes,65.2,86.3,1,Placed
279,280,7.7,2,2,1,10,3.8,Yes,Yes,73.0,76.2,2,Placed
280,281,7.9,0,1,1,6,2.6,Yes,No,77.5,73.1,2,Placed
281,282,6.0,1,2,1,4,3.3,Yes,No,78.1,67.3,2,NotPlaced
282,283,8.3,1,1,3,5,2.7,Yes,No,71.5,92.3,2,Placed
283,284,7.9,1,2,1,6,4.2,Yes,Yes,50.4,65.3,0,Placed
284,285,6.6,0,1,1,11,2.8,No,Yes,79.6,65.5,0,Placed
285,286,7.1,0,1,1,7,3.7,Yes,No,63.7,77.6,2,Placed
286,287,7.7,1,1,0,11,2.4,Yes,Yes,73.8,65.5,2,NotPlaced
287,288,7.5,1,2,1,8,2.6,No,No,69.9,62.4,3,NotPlaced
288,289,7.3,1,1,3,6,2.6,Yes,Yes,91.2,71.0,2,Placed
289,290,7.4,1,2,0,6,3.3,No,Yes,89.5,77.7,0,Placed
290,291,7.3,1,2,0,9,3.6,Yes,Yes,66.9,88.4,0,Placed
291,292,7.6,1,3,0,9,3.8,No,Yes,58.9,90.3,1,NotPlaced
292,293,8.8,2,1,2,10,2.1,Yes,No,59.6,55.4,1,Placed
293,294,5.5,1,3,2,6,3.4,Yes,No,73.4,80.9,3,NotPlaced
294,295,7.3,1,0,2,8,2.9,Yes,Yes,66.1,62.7,2,Placed
295,296,7.7,1,0,2,9,3.9,Yes,Yes,61.0,63.1,3,Placed
296,297,7.8,0,1,2,6,3.3,Yes,Yes,66.3,66.7,1,NotPlaced
297,298,7.2,1,3,3,4,3.4,Yes,Yes,75.1,66.1,1,NotPlaced
298,299,6.0,2,2,1,5,2.9,Yes,Yes,70.3,61.9,1,NotPlaced
299,300,7.8,2,1,2,6,4.9,No,Yes,66.7,50.6,0,Placed
300,301,9.0,0,0,2,9,2.5,Yes,Yes,67.8,84.6,0,Placed
301,302,6.2,1,3,1,11,3.2,Yes,Yes,69.5,79.6,1,Placed
302,303,8.2,0,3,2,3,3.6,Yes,Yes,73.0,71.4,1,Placed
303,304,7.2,1,1,2,5,3.3,Yes,Yes,73.5,62.8,0,Placed
304,305,7.4,1,0,0,6,2.9,No,Yes,56.2,82.7,2,NotPlaced
305,306,6.6,2,3,0,9,2.1,Yes,Yes,72.5,71.0,2,Placed
306,307,7.2,0,1,2,5,2.9,Yes,Yes,67.7,66.4,0,Placed
307,308,8.6,1,1,0,6,2.7,No,Yes,61.9,56.7,2,Placed
308,309,8.0,1,3,1,3,4.8,Yes,No,67.6,76.4,0,Placed
309,310,9.0,1,2,0,8,5.0,Yes,No,81.4,68.5,1,NotPlaced
310,311,8.5,2,1,2,7,3.5,Yes,No,78.3,73.9,2,NotPlaced
311,312,7.9,2,2,1,5,2.4,Yes,Yes,71.9,73.1,1,NotPlaced
312,313,9.0,0,2,0,6,4.1,No,Yes,62.9,77.3,2,Placed
313,314,7.9,2,1,3,10,2.7,No,Yes,58.8,73.5,1,Placed
314,315,8.2,2,2,0,4,3.1,No,No,62.5,68.8,0,NotPlaced
315,316,7.2,1,1,3,4,3.0,Yes,No,71.1,76.5,1,Placed
316,317,7.6,0,2,3,11,3.1,Yes,Yes,71.3,80.1,1,Placed
317,318,6.9,0,2,2,7,3.2,No,No,65.1,85.5,0,Placed
318,319,8.3,0,2,2,9,2.4,Yes,Yes,78.9,61.5,1,NotPlaced
319,320,6.5,2,1,2,8,2.9,Yes,Yes,74.5,81.6,0,NotPlaced
320,321,8.2,1,3,1,7,4.3,No,Yes,50.0,57.3,1,Placed
321,322,7.3,2,2,0,6,3.5,No,Yes,72.0,80.7,2,Placed
322,323,8.5,1,3,0,9,3.6,No,Yes,77.8,66.2,3,Placed
323,324,8.1,1,1,0,10,1.7,Yes,Yes,72.8,79.1,3,Placed
324,325,9.0,0,3,1,10,4.3,Yes,Yes,76.2,85.0,2,Placed
325,326,8.1,1,0,0,3,3.0,No,Yes,68.6,73.6,4,NotPlaced
326,327,6.2,1,3,1,11,4.4,Yes,Yes,70.4,71.6,2,NotPlaced
327,328,7.4,1,3,1,6,3.6,No,Yes,70.6,71.1,2,NotPlaced
328,329,6.5,0,2,3,5,3.1,Yes,Yes,72.7,67.8,3,Placed
329,330,7.1,1,0,0,6,2.2,Yes,Yes,65.8,82.1,3,NotPlaced
330,331,8.8,2,3,2,9,5.0,Yes,Yes,80.8,71.0,3,Placed
331,332,8.0,0,2,0,9,4.1,No,No,83.8,52.4,4,NotPlaced
